Year,CensusCode,TotalEst,CensusCode2,Name,Unsheltered,Sheltered,Total
2016,206300c,1101,206300c,Downtown,425.4,676,
2016,206300a,783,206300a,Downtown,302.599999999999,480,
2016,206300b,770.8,206300b,Downtown,297.9,473,
2016,232700a,393.9,232700a,Vermont-Slauson,108.9,285,
2016,226002b,373.7,226002b,Downtown,273.2,101,
2016,701100b,356.9,701100b,Veterans Administration,36.3,321,
2016,277400,349,277400,Westchester/Playa,349,0,
2016,206200b,321.4,206200b,Downtown,272.2,49,
2016,532304c,258,532304c,Commerce,5.7,252,
2016,121900b,243.9,121900b,Sun Valley,9.5,234,
2016,231100b,242.8,231100b,Historic South-Central,139.3,104,
2016,192700a,200.7,192700a,East Hollywood,156.1,45,
2016,121900a,194.1,121900a,Sun Valley,7.5,187,
2016,265520b,178.5,265520b,Westwood,67.1,111,
2016,273402,178,273402,Venice,178,0,
2016,400402b,177,400402b,Glendora,18.5,159,
2016,231800a,175.899999999999,231800a,Historic South-Central,175.899999999999,0,
2016,601401b,174.1,601401b,Inglewood,10.7999999999999,163,
2016,122122,169,122122,Sun Valley,119,50,
2016,226700,0,226700,Historic South-Central,169,0,
2016,231800b,157.1,231800b,Historic South-Central,157.1,0,
2016,206050,144,206050,Boyle Heights,144,0,
2016,408800b,142.3,408800b,Pomona,75.5,67,
2016,190901,142,190901,Hollywood,10,132,
2016,232400,0,232400,Vermont Square,39,103,
2016,206032,141,206032,Boyle Heights,35,106,
2016,208903b,140.3,208903b,Westlake,15.8,125,
2016,206200a,139.3,206200a,Downtown,118,21,
2016,408800a,136.7,408800a,Pomona,72.5,64,
2016,190700,131,190700,Hollywood,68,63,
2016,273300,128,273300,Venice,128,0,
2016,980014b,127.6,980014b,Wilmington,127.6,0,
2016,207102a,127.4,207102a,Chinatown,111.1,16,
2016,930200p,125.1,930200p,Tujunga Canyons,0,125,
2016,274100,123,274100,Venice,123,0,
2016,910001b,121.3,910001b,Palmdale,121.3,0,
2016,104320,121,104320,Pacoima,1,120,
2016,209200a,116.2,209200a,Westlake,116.2,0,
2016,900103a,108,900103a,Northeast Antelope Valley,108,0,
2016,224600,106,224600,Historic South-Central,62,44,
2016,232700b,105.1,232700b,Vermont-Slauson,29.1,76,
2016,240200,104,240200,Broadway-Manchester,104,0,
2016,206200c,101.1,206200c,Downtown,85.6999999999999,15,
2016,209104,100,209104,Westlake,2,98,
2016,540902b,99.9,540902b,Willowbrook,99.9,0,
2016,900104b,99.5,900104b,Northeast Antelope Valley,99.5,0,
2016,191201,98,191201,East Hollywood,48,50,
2016,231720a,97.6,231720a,Vermont Square,97.6,0,
2016,540902a,95.1,540902a,Willowbrook,95.1,0,
2016,273200,95,273200,Venice,77,18,
2016,980014a,92.4,980014a,Wilmington,92.4,0,
2016,237300,90,237300,Chesterfield Square,1,89,
2016,532304b,89.5,532304b,Bell,1.9,88,
2016,209102a,89.4,209102a,Westlake,75.5,14,
2016,550400,89,550400,Downey,89,0,
2016,602801,88,602801,Westmont/West Athens,88,0,
2016,192700b,87.3,192700b,East Hollywood,67.9,19,
2016,267403b,87.1,267403b,West Los Angeles,2.8,84,
2016,117408,86,117408,North Hills,86,0,
2016,294110,0,294110,Wilmington,0,0,
2016,533001,0,533001,Florence-Firestone,0,0,
2016,206200d,85.3999999999999,206200d,Downtown,72.3,13,
2016,910001e,85.1,910001e,Northeast Antelope Valley,85.1,0,
2016,900104a,84.5,900104a,Northeast Antelope Valley,84.5,0,
2016,273502,83,273502,Venice,83,0,
2016,910001d,80.6999999999999,910001d,Sun Village,80.6999999999999,0,
2016,228420b,80.3,228420b,Historic South-Central,80.3,0,
2016,191901,80,191901,Hollywood,66,14,
2016,197420,0,197420,Echo Park,10,70,
2016,207710a,79.7,207710a,Downtown,58.3,21,
2016,503301,79,503301,Whittier,0,79,
2016,237202,78,237202,Chesterfield Square,78,0,
2016,503302,0,503302,South Whittier,7,71,
2016,980024,0,980024,Sepulveda Basin,78,0,
2016,204420b,77.5,204420b,Boyle Heights,9,69,
2016,600304,76,600304,Westmont/West Athens,60,16,
2016,207102b,75.6,207102b,Downtown,65.8999999999999,10,
2016,191000a,75.4,191000a,Hollywood,32.9,43,
2016,900806a,74.5,900806a,Lancaster,41.1,33,
2016,541001,74,541001,West Compton,74,0,
2016,207301c,73.1,207301c,Downtown,28.3,45,
2016,197500,73,197500,Echo Park,42,31,
2016,207301b,72.8,207301b,Downtown,28.2,45,
2016,207301a,72.2,207301a,Downtown,28,44,
2016,190802,72,190802,Hollywood,72,0,
2016,900806b,70.5,900806b,Lancaster,38.9,32,
2016,232500,69,232500,Chesterfield Square,11,58,
2016,273100,68,273100,Venice,68,0,
2016,262704,67,262704,Pacific Palisades,67,0,
2016,601401a,66.9,601401a,Inglewood,4.19999999999999,63,
2016,226002a,66.8,226002a,Downtown,48.8,18,
2016,229300,66,229300,South Park,66,0,
2016,601302,0,601302,Inglewood,5,61,
2016,241110a,65.1,241110a,Broadway-Manchester,1.7,63,
2016,542105a,63.1,542105a,Compton,0.7,62,
2016,920118,63,920118,Castaic,63,0,
2016,900103b,62.1999999999999,900103b,Lake Los Angeles,62.1999999999999,0,
2016,208302b,62.0999999999999,208302b,Westlake,7.19999999999999,55,
2016,217002,62,217002,South Robertson,22,40,
2016,433403,0,433403,El Monte,1,61,
2016,900103c,61.7,900103c,Northeast Antelope Valley,61.7,0,
2016,191000b,60.2,191000b,Hollywood,26.2,34,
2016,117520,60,117520,North Hills,29,31,
2016,131400,0,131400,Reseda,19,41,
2016,205120b,59.8,205120b,Boyle Heights,59.8,0,
2016,207302a,58.5999999999999,207302a,Downtown,58.5999999999999,0,
2016,900607a,56.7,900607a,Lancaster,20.3,36,
2016,228320b,56,228320b,Historic South-Central,56,0,
2016,296902,0,296902,San Pedro,7,49,
2016,600303,0,600303,Westmont/West Athens,56,0,
2016,543305b,55.1,543305b,Unincorporated Compton,55.1,0,
2016,602802,55,602802,Westmont/West Athens,55,0,
2016,910002f,54.4,910002f,Northeast Antelope Valley,54.4,0,
2016,920314b,0,920314b,Santa Clarita,6.1,48,
2016,433802a,53.2,433802a,Whittier Narrows,4.1,49,
2016,620501b,52.9,620501b,Redondo Beach,52.9,0,
2016,911001b,52.6,911001b,Littlerock,52.6,0,
2016,204420a,52.5,204420a,Boyle Heights,6,47,
2016,208610b,52.4,208610b,Westlake,15.3999999999999,37,
2016,620501a,52.0999999999999,620501a,Redondo Beach,52.0999999999999,0,
2016,106407,52,106407,Sylmar,36,16,
2016,400402a,0,400402a,Glendora,5.5,47,
2016,195710a,51.3,195710a,Westlake,18.6,33,
2016,127102,51,127102,Van Nuys,51,0,
2016,274202a,0,274202a,Venice,0,0,
2016,433901,0,433901,El Monte,10,41,
2016,702803,0,702803,Culver City,2,49,
2016,209102b,50.9,209102b,Westlake,43,8,
2016,207400a,50.7,207400a,Downtown,50.7,0,
2016,236203b,50.6999999999999,236203b,Baldwin Hills/Crenshaw,50.6999999999999,0,
2016,121222,50,121222,Sun Valley,50,0,
2016,273902,0,273902,Venice,0,0,
2016,621204,0,621204,Redondo Beach,0,0,
2016,208302a,49.9,208302a,Westlake,5.8,44,
2016,239601b,0,239601b,Florence,25.6,24,
2016,127910,49,127910,Van Nuys,49,0,
2016,294830,0,294830,Wilmington,0,0,
2016,540700,0,540700,Willowbrook,0,0,
2016,123901a,48.5,123901a,North Hollywood,48.5,0,
2016,195710c,48.4,195710c,Echo Park,17.6,31,
2016,109800,48,109800,North Hills,48,0,
2016,240010,0,240010,Green Meadows,0,0,
2016,533701,0,533701,Maywood,2,46,
2016,241110b,47.9,241110b,Broadway-Manchester,1.3,47,
2016,228420a,47.6999999999999,228420a,Historic South-Central,47.6999999999999,0,
2016,293302,47,293302,Harbor City,47,0,
2016,294302,0,294302,Wilmington,0,0,
2016,550202,0,550202,Norwalk,0,0,
2016,209102c,46.5,209102c,Westlake,39.3,7,
2016,104701,46,104701,Pacoima,46,0,
2016,134521,0,134521,Canoga Park,0,0,
2016,231100a,0,231100a,Historic South-Central,26.4,20,
2016,402101,0,402101,Pomona,0,46,
2016,408401,0,408401,Hacienda Heights,46,0,
2016,501504,0,501504,Whittier,0,0,
2016,910001c,45.6,910001c,Sun Village,45.6,0,
2016,532900b,45.1,532900b,Florence-Firestone,45.1,0,
2016,124103a,45,124103a,North Hollywood,45,0,
2016,124103b,0,124103b,North Hollywood,0,0,
2016,128303,0,128303,Van Nuys,30,15,
2016,297120,0,297120,San Pedro,45,0,
2016,601802a,44.8,601802a,Lennox,44.8,0,
2016,609900,44,609900,San Pedro,44,0,
2016,239201b,43.6,239201b,Florence,43.6,0,
2016,541100b,43.5,541100b,West Compton,43.5,0,
2016,292000a,43.1999999999999,292000a,Harbor Gateway North and South,43.1999999999999,0,
2016,980021b,43.1,980021b,Hansen Dam,43.1,0,
2016,240300,43,240300,Vermont Vista,26,17,
2016,242700,0,242700,Watts,43,0,
2016,532900a,42.9,532900a,Florence-Firestone,42.9,0,
2016,701902bcN,42.7,701902bcN,Santa Monica,42.7,0,
2016,701501a,42.1,701501a,Santa Monica,9.5,33,
2016,204600,42,204600,Boyle Heights,42,0,
2016,701501b,41.9,701501b,Santa Monica,9.5,32,
2016,910002d,41.2999999999999,910002d,Northeast Antelope Valley,41.2999999999999,0,
2016,402501,41,402501,Pomona,41,0,
2016,503105,0,503105,South Whittier,15,26,
2016,800504b,0,800504b,Malibu,41,0,
2016,115202b,40.9,115202b,Northridge,11.1,30,
2016,123902a,40.5,123902a,North Hollywood,40.5,0,
2016,910001a,40.4,910001a,Palmdale,40.4,0,
2016,543603b,40.3,543603b,West Carson,40.3,0,
2016,224410,40,224410,University Park,40,0,
2016,550000,0,550000,Norwalk,2,38,
2016,408301c,39.9,408301c,Avocado Heights,39.9,0,
2016,115202c,39.8,115202c,Northridge,10.8,29,
2016,543603a,39.7,543603a,West Carson,39.7,0,
2016,543501a,39.3,543501a,Carson,39.3,0,
2016,101220,39,101220,Tujunga,39,0,
2016,294421,0,294421,Harbor City,0,0,
2016,502004,0,502004,Whittier,0,0,
2016,231720b,38.3999999999999,231720b,Vermont Square,38.3999999999999,0,
2016,900607b,38.3,900607b,Lancaster,13.7,25,
2016,191620,38,191620,East Hollywood,38,0,
2016,535300b,37.7,535300b,Florence-Firestone,26.4,11,
2016,291300b,37.5999999999999,291300b,Harbor Gateway North and South,37.5999999999999,0,
2016,602900b,37.5,602900b,Gardena,9.1,28,
2016,128210a,37.2,128210a,Van Nuys,16.5,21,
2016,117510,37,117510,North Hills,37,0,
2016,265202,0,265202,Westwood,0,0,
2016,267403a,36.9,267403a,West Los Angeles,1.2,36,
2016,701902c,36.8,701902c,Santa Monica,36.8,0,
2016,980009a,36.7,980009a,Griffith Park,36.7,0,
2016,206031b,36.1,206031b,Downtown,36.1,0,
2016,209403,36,209403,Westlake,36,0,
2016,271902,0,271902,Mar Vista,0,0,
2016,278001,0,278001,Westchester/Playa,0,0,
2016,209401a,35.9,209401a,Westlake,35.9,0,
2016,408402b,35.4,408402b,Hacienda Heights,35.4,0,
2016,231300,35,231300,Exposition Park,35,0,
2016,239501,0,239501,Florence,0,0,
2016,294200,0,294200,Wilmington,0,0,
2016,296220,0,296220,San Pedro,0,0,
2016,296500,0,296500,San Pedro,0,0,
2016,700101,0,700101,West Hollywood,0,0,
2016,226001a,34.8,226001a,Downtown,34.8,0,
2016,532304d,34.7,532304d,Commerce,0.8,34,
2016,267800a,34.5,267800a,West Los Angeles,8.2,26,
2016,294701b,0,294701b,Wilmington,22.4,12,
2016,207302b,34.4,207302b,Downtown,34.4,0,
2016,232120a,34.2,232120a,Vermont Square,34.2,0,
2016,239802a,0,239802a,Florence,0,0,
2016,900805b,0,900805b,Lancaster,0,0,
2016,901008a,0,901008a,Lancaster,0,0,
2016,701802b,34.1,701802b,Santa Monica,12.4,22,
2016,195802b,34,195802b,Silver Lake,34,0,
2016,216900,0,216900,Mid-City,0,0,
2016,228320a,0,228320a,Historic South-Central,0,0,
2016,240401,0,240401,Vermont Vista,0,0,
2016,271200,0,271200,West Los Angeles,0,0,
2016,534301,0,534301,Cudahy,0,0,
2016,137104b,33.9,137104b,Woodland Hills,33.9,0,
2016,297110a,33.8,297110a,San Pedro,33.8,0,
2016,900805a,0,900805a,Lancaster,0,0,
2016,143604a,33.6,143604a,Studio City,33.6,0,
2016,533806a,33.4,533806a,Bell,33.4,0,
2016,192620b,33.3,192620b,East Hollywood,33.3,0,
2016,209300b,33.1,209300b,Westlake,33.1,0,
2016,107010,33,107010,Sylmar,33,0,
2016,137301,0,137301,Woodland Hills,0,0,
2016,227010,0,227010,Central-Alameda,0,0,
2016,240500,0,240500,Broadway-Manchester,11,22,
2016,540901,0,540901,Willowbrook,33,0,
2016,128210b,32.8,128210b,Van Nuys,14.5,18,
2016,267200a,0,267200a,West Los Angeles,32.8,0,
2016,901008b,0,901008b,Lancaster,0,0,
2016,123203a,32.6,123203a,North Hollywood,32.6,0,
2016,123205a,0,123205a,North Hollywood,0,0,
2016,208610a,0,208610a,Westlake,9.6,23,
2016,911001j,0,911001j,Littlerock,32.6,0,
2016,980021c,0,980021c,Hansen Dam,0,0,
2016,602900a,32.5,602900a,Gardena,7.89999999999999,25,
2016,900501b,32.4,900501b,Lancaster,32.4,0,
2016,195710b,32.2,195710b,Echo Park,11.7,21,
2016,187300,32,187300,Silver Lake,32,0,
2016,207710c,0,207710c,Downtown,23.4,9,
2016,243100,0,243100,Watts,32,0,
2016,273600,0,273600,Venice,0,0,
2016,408501,0,408501,Hacienda Heights,0,0,
2016,535200,0,535200,Florence-Firestone,0,0,
2016,532303a,31.9,532303a,Commerce,31.9,0,
2016,190801a,31.7,190801a,Hollywood,31.7,0,
2016,262706b,0,262706b,Pacific Palisades,0,0,
2016,123902b,31.5,123902b,Valley Glen,31.5,0,
2016,195500a,31.3,195500a,Silver Lake,31.3,0,
2016,226001b,31.2,226001b,Historic South-Central,31.2,0,
2016,104500,31,104500,Pacoima,4,27,
2016,123103a,0,123103a,North Hollywood,31,0,
2016,542601,0,542601,Compton,0,0,
2016,601001,0,601001,Inglewood,0,0,
2016,551800b,30.7,551800b,Downey,30.7,0,
2016,239202b,30.5,239202b,Florence,30.5,0,
2016,231100c,30.2,231100c,Exposition Park,17.3,13,
2016,532700b,30.1,532700b,Florence-Firestone,30.1,0,
2016,234200a,30,234200a,Leimert Park,30,0,
2016,267600,0,267600,West Los Angeles,0,0,
2016,275603,0,275603,Playa Vista,0,0,
2016,127400a,29.9,127400a,Van Nuys,29.9,0,
2016,191302b,29.8,191302b,East Hollywood,29.8,0,
2016,207301d,29.7999999999999,207301d,Downtown,11.4999999999999,18,
2016,208801a,29.7,208801a,Westlake,29.7,0,
2016,229200a,0,229200a,South Park,0,0,
2016,195600a,29.6,195600a,Echo Park,8.1,22,
2016,232800b,0,232800b,South Park,29.6,0,
2016,123901b,29.5,123901b,North Hollywood,29.5,0,
2016,532800a,0,532800a,Florence-Firestone,0,0,
2016,532800b,0,532800b,Florence-Firestone,0,0,
2016,121102b,29.4,121102b,Sun Valley,29.4,0,
2016,551800a,29.3,551800a,Downey,29.3,0,
2016,231600a,29.2999999999999,231600a,Vermont Square,14.7,15,
2016,535300a,0,535300a,Florence-Firestone,20.5999999999999,9,
2016,191204,29,191204,East Hollywood,29,0,
2016,239330,0,239330,Florence,0,0,
2016,240800,0,240800,Green Meadows,0,0,
2016,242600a,0,242600a,Watts,0,0,
2016,296210,0,296210,San Pedro,0,0,
2016,600202,0,600202,Westmont/West Athens,0,0,
2016,603802,0,603802,Lawndale,0,29,
2016,702802,0,702802,Culver City,29,0,
2016,209200b,28.8,209200b,Westlake,28.8,0,
2016,208903a,28.7,208903a,Westlake,3.2,26,
2016,195600b,28.4,195600b,Echo Park,7.9,21,
2016,800326c,28.3,800326c,Unincorporated Santa Monica Mountains,28.3,0,
2016,103200b,28.0999999999999,103200b,Lake View Terrace,28.0999999999999,0,
2016,239601a,0,239601a,Florence,14.3999999999999,14,
2016,102104,28,102104,Shadow Hills,28,0,
2016,107020,0,107020,Sylmar,0,0,
2016,127300,0,127300,Van Nuys,0,0,
2016,132300,0,132300,Reseda,0,0,
2016,203600,0,203600,Boyle Heights,3,25,
2016,228800,0,228800,Central-Alameda,28,0,
2016,234300,0,234300,Leimert Park,0,0,
2016,115202a,27.9,115202a,Northridge,7.6,20,
2016,209300a,0,209300a,Westlake,27.9,0,
2016,192620a,27.7,192620a,East Hollywood,27.7,0,
2016,191000c,27.4,191000c,Hollywood,11.9,16,
2016,430101a,27.2999999999999,430101a,Duarte,7.6,20,
2016,210010a,27.0999999999999,210010a,Pico-Union,27.0999999999999,0,
2016,701100a,0,701100a,Brentwood,2.7,24,
2016,113233,27,113233,Canoga Park,27,0,
2016,204920,0,204920,Boyle Heights,0,0,
2016,243000,0,243000,Watts,0,0,
2016,400304,0,400304,San Dimas,1,26,
2016,531604,0,531604,East Los Angeles,27,0,
2016,541603,0,541603,Compton,0,0,
2016,541604,0,541604,Compton,0,0,
2016,670003,0,670003,Lomita,13,14,
2016,542105b,26.9,542105b,East Compton,0.3,27,
2016,234000b,26.5,234000b,Leimert Park,7.1,19,
2016,543400b,0,543400b,Carson,26.5,0,
2016,128400a,26.4,128400a,Van Nuys,26.4,0,
2016,701802d,26.2,701802d,Santa Monica,9.6,17,
2016,119001,26,119001,Arleta,26,0,
2016,127920,0,127920,Van Nuys,0,0,
2016,224200b,0,224200b,Pico-Union,0,0,
2016,229410,0,229410,South Park,0,0,
2016,601502,0,601502,Lennox,0,0,
2016,910403,0,910403,Palmdale,0,0,
2016,920330a,25.8,920330a,Santa Clarita,25.8,0,
2016,911001g,25.7999999999999,911001g,Northeast Antelope Valley,25.7999999999999,0,
2016,532304a,25.7,532304a,Vernon,0.6,25,
2016,195802a,25.5,195802a,Westlake,25.5,0,
2016,104821b,25.4,104821b,Pacoima,25.4,0,
2016,190201a,0,190201a,Hollywood,0,0,
2016,911001k,0,911001k,Littlerock,0,0,
2016,297110b,25.2,297110b,San Pedro,25.2,0,
2016,209401b,25.1,209401b,Westlake,25.1,0,
2016,181000b,25.0999999999999,181000b,Eagle Rock,25.0999999999999,0,
2016,106113,25,106113,Sylmar,25,0,
2016,122410,0,122410,Sun Valley,0,0,
2016,191500,0,191500,East Hollywood,0,0,
2016,194500,0,194500,Beverly Grove,0,0,
2016,231900b,0,231900b,South Park,0,0,
2016,269907,0,269907,Palms,0,0,
2016,541605,0,541605,Compton,0,0,
2016,911001a,24.8,911001a,Littlerock,24.8,0,
2016,190201b,24.5999999999999,190201b,Hollywood,24.5999999999999,0,
2016,800408a,0,800408a,Malibu,0,0,
2016,207502a,24.4999999999999,207502a,Downtown,24.4999999999999,0,
2016,123205b,24.4,123205b,North Hollywood,24.4,0,
2016,190801b,24.3,190801b,Hollywood,24.3,0,
2016,228410b,0,228410b,Historic South-Central,0,0,
2016,123010a,24.2,123010a,Sun Valley,24.2,0,
2016,191420b,0,191420b,East Hollywood,0,0,
2016,124300,24,124300,North Hollywood,24,0,
2016,185320,0,185320,Cypress Park,0,0,
2016,211910,0,211910,Koreatown,2,22,
2016,224200a,0,224200a,Pico-Union,24,0,
2016,226002c,0,226002c,Downtown,17.6,6,
2016,980028,0,980028,Westchester/Playa,24,0,
2016,241002b,23.7,241002b,Green Meadows,23.7,0,
2016,430101b,0,430101b,Duarte,6.4,17,
2016,262802b,23.6,262802b,Pacific Palisades,23.6,0,
2016,701702a,0,701702a,Santa Monica,7.5,16,
2016,900501a,0,900501a,Lancaster,23.6,0,
2016,211122a,23.5999999999999,211122a,Koreatown,23.5999999999999,0,
2016,701702b,23.4,701702b,Santa Monica,7.5,16,
2016,192610a,23.3,192610a,East Hollywood,23.3,0,
2016,503000b,0,503000b,South Whittier,0,0,
2016,236202b,23.0999999999999,236202b,Baldwin Hills/Crenshaw,23.0999999999999,0,
2016,120104,23,120104,Panorama City,23,0,
2016,181600,0,181600,Eagle Rock,0,0,
2016,220000,0,220000,West Adams,0,0,
2016,237710b,0,237710b,Vermont Knolls,0,0,
2016,240700,0,240700,Green Meadows,0,0,
2016,275311,0,275311,Del Rey,0,0,
2016,296600,0,296600,San Pedro,16,7,
2016,533902,0,533902,Bell Gardens,23,0,
2016,535102,0,535102,Florence-Firestone,0,0,
2016,980020,0,980020,Shadow Hills,0,0,
2016,113303a,22.9,113303a,Chatsworth,10.3,13,
2016,206031a,0,206031a,Downtown,22.9,0,
2016,239802b,22.8,239802b,Florence,22.8,0,
2016,310601b,0,310601b,Burbank,0,23,
2016,502100a,22.7,502100a,Whittier,22.7,0,
2016,208402b,22.6999999999999,208402b,Westlake,22.6999999999999,0,
2016,221303b,22.6,221303b,Harvard Heights,22.6,0,
2016,601700a,22.5,601700a,Lennox,22.5,0,
2016,702901a,0,702901a,Marina del Rey,0,0,
2016,800408b,22.4,800408b,Malibu,22.4,0,
2016,800408c,0,800408c,Malibu,0,0,
2016,920330b,22.2,920330b,Santa Clarita,22.2,0,
2016,402801b,22.0999999999999,402801b,Pomona,22.0999999999999,0,
2016,900102d,0,900102d,Northeast Antelope Valley,0,0,
2016,900102f,0,900102f,Northeast Antelope Valley,0,0,
2016,113321,22,113321,Chatsworth,22,0,
2016,199700,0,199700,Lincoln Heights,0,0,
2016,240020,0,240020,Green Meadows,0,0,
2016,273800a,0,273800a,Venice,0,0,
2016,431002,0,431002,Monrovia,0,0,
2016,530801,0,530801,East Los Angeles,0,0,
2016,554403,0,554403,Bellflower,0,0,
2016,603600,0,603600,Gardena,0,0,
2016,900102b,0,900102b,Northeast Antelope Valley,0,0,
2016,900102g,0,900102g,Northeast Antelope Valley,0,0,
2016,900102h,0,900102h,Northeast Antelope Valley,0,0,
2016,125310a,21.9,125310a,North Hollywood,21.9,0,
2016,212101b,0,212101b,Koreatown,0,0,
2016,228100a,0,228100a,Central-Alameda,0,0,
2016,900102a,0,900102a,Northeast Antelope Valley,0,0,
2016,267200b,21.8,267200b,West Los Angeles,21.8,0,
2016,101300b,21.6,101300b,Tujunga,21.6,0,
2016,213320b,21.5,213320b,Pico-Union,16.3,5,
2016,228900b,0,228900b,Central-Alameda,21.5,0,
2016,532400b,0,532400b,Vernon,0,0,
2016,920329b,0,920329b,Santa Clarita,0,0,
2016,239201a,21.4,239201a,Florence,21.4,0,
2016,502100b,21.2999999999999,502100b,West Whittier-Los Nietos,21.2999999999999,0,
2016,542000b,0,542000b,Compton,0,0,
2016,554105b,21.2,554105b,Bellflower,1.6,20,
2016,113234,21,113234,Canoga Park,6,15,
2016,122200,0,122200,Sun Valley,21,0,
2016,190100a,0,190100a,Hollywood,0,0,
2016,204810,0,204810,Boyle Heights,0,0,
2016,234501,0,234501,Hyde Park,0,0,
2016,276100,0,276100,Westchester/Playa,0,0,
2016,503103,0,503103,South Whittier,0,0,
2016,531701,0,531701,East Los Angeles,0,0,
2016,550100,0,550100,Norwalk,0,0,
2016,191302a,20.9,191302a,East Hollywood,20.9,0,
2016,701802a,0,701802a,Santa Monica,7.69999999999999,13,
2016,132102b,20.8,132102b,Lake Balboa,20.8,0,
2016,117404b,20.7999999999999,117404b,North Hills,12.7,8,
2016,221302b,0,221302b,Harvard Heights,20.7999999999999,0,
2016,199000a,20.7,199000a,Lincoln Heights,20.7,0,
2016,275200b,0,275200b,Del Rey,0,0,
2016,554204a,0,554204a,Bellflower,0,0,
2016,900102i,0,900102i,Northeast Antelope Valley,0,0,
2016,502700b,20.6,502700b,Santa Fe Springs,20.6,0,
2016,111202b,20.5999999999999,111202b,Granada Hills,20.5999999999999,0,
2016,228900a,20.5,228900a,Central-Alameda,20.5,0,
2016,104124c,20.4,104124c,Lopez/Kagel Canyons,20.4,0,
2016,185100b,0,185100b,Mount Washington,0,0,
2016,275500a,20.3,275500a,Del Rey,20.3,0,
2016,117404a,20.2,117404a,North Hills,12.3,8,
2016,221302a,0,221302a,Arlington Heights,20.2,0,
2016,408504a,0,408504a,Hacienda Heights,0,0,
2016,910002c,0,910002c,Sun Village,0,0,
2016,190902b,20.1,190902b,Hollywood,20.1,0,
2016,102103,20,102103,Shadow Hills,20,0,
2016,113213,0,113213,Chatsworth,0,0,
2016,128302,0,128302,Van Nuys,0,0,
2016,131010,0,131010,Reseda,0,0,
2016,131800,0,131800,Reseda,0,0,
2016,190401,0,190401,Los Feliz,0,0,
2016,238200,0,238200,Vermont Knolls,0,0,
2016,273700,0,273700,Venice,0,0,
2016,296300,0,296300,San Pedro,0,0,
2016,405001,0,405001,Baldwin Park,0,0,
2016,531702,0,531702,East Los Angeles,0,0,
2016,542700,0,542700,Compton,0,0,
2016,600100,0,600100,Westmont/West Athens,0,0,
2016,900102e,19.8,900102e,Northeast Antelope Valley,19.8,0,
2016,503000c,19.7,503000c,South Whittier,19.7,0,
2016,701802c,0,701802c,Santa Monica,7.3,12,
2016,191301b,19.6,191301b,East Hollywood,17.5,2,
2016,239310b,19.5,239310b,Florence,19.5,0,
2016,294701a,0,294701a,Wilmington,12.6,7,
2016,294810b,0,294810b,Wilmington,19.5,0,
2016,532400a,0,532400a,Vernon,0,0,
2016,800506a,0,800506a,Topanga,0,0,
2016,535400b,19.4,535400b,Florence-Firestone,19.4,0,
2016,540300b,0,540300b,Lynwood,0,0,
2016,190301b,19.3,190301b,Hollywood,12.6,7,
2016,208402a,0,208402a,Westlake,19.3,0,
2016,911001i,19.2999999999999,911001i,Littlerock,19.2999999999999,0,
2016,408211b,19.2,408211b,Industry,19.2,0,
2016,101210,19,101210,Tujunga,19,0,
2016,109400,0,109400,Mission Hills,0,0,
2016,125320,0,125320,North Hollywood,0,0,
2016,127210,0,127210,Van Nuys,0,0,
2016,219500,0,219500,Baldwin Hills/Crenshaw,0,0,
2016,231900a,0,231900a,South Park,0,0,
2016,232110,0,232110,Vermont Square,0,0,
2016,238100,0,238100,Manchester Square,0,0,
2016,239801,0,239801,Florence,0,0,
2016,269903,0,269903,Palms,0,0,
2016,276500,0,276500,Westchester/Playa,2,17,
2016,503104,0,503104,South Whittier,19,0,
2016,531301,0,531301,East Los Angeles,0,0,
2016,603302,0,603302,Gardena,0,0,
2016,920116,0,920116,Castaic,0,0,
2016,190902a,18.9,190902a,Hollywood,18.9,0,
2016,206010b,0,206010b,Chinatown,11.4,8,
2016,701902a,0,701902a,Santa Monica,18.9,0,
2016,224010a,18.8,224010a,Downtown,18.8,0,
2016,554105a,18.7999999999999,554105a,Bellflower,1.4,17,
2016,900701b,18.7,900701b,Lancaster,10.1,9,
2016,218120a,18.5,218120a,Arlington Heights,4.5,14,
2016,218120b,0,218120b,Arlington Heights,0,0,
2016,241202a,0,241202a,Vermont Vista,18.5,0,
2016,265520a,0,265520a,West Los Angeles,6.9,12,
2016,294810a,0,294810a,Wilmington,18.5,0,
2016,543202b,0,543202b,Compton,0,0,
2016,191610b,18.4,191610b,East Hollywood,18.4,0,
2016,191810a,0,191810a,Hollywood,0,0,
2016,535400a,0,535400a,Florence-Firestone,0,0,
2016,701902b,0,701902b,Santa Monica,0,0,
2016,911001h,0,911001h,Northeast Antelope Valley,0,0,
2016,900701a,18.3,900701a,Lancaster,9.9,8,
2016,113237b,18.2,113237b,Chatsworth,18.2,0,
2016,127400b,18.1,127400b,Van Nuys,18.1,0,
2016,115403,18,115403,Northridge,18,0,
2016,188100,0,188100,Atwater Village,0,0,
2016,212202,0,212202,Westlake,0,0,
2016,214501a,0,214501a,Fairfax,0,0,
2016,221810a,0,221810a,Adams-Normandie,0,0,
2016,231500,0,231500,Vermont Square,0,0,
2016,232300a,0,232300a,Vermont Square,9.7,8,
2016,241300,0,241300,Vermont Vista,18,0,
2016,277000b,0,277000b,Westchester/Playa,0,0,
