Year,CensusCode,TotalEst,CensusCode2,Name,Unsheltered,Sheltered,Total
2017,128400b,0,128400b,Van Nuys,0,0,
2017,502802b,0,502802b,Santa Fe Springs,0,0,
2017,143604a,20.1,143604a,Studio City,20.1,0,
2017,208402a,0,208402a,Westlake,0,0,
2017,236100,0,236100,Baldwin Hills/Crenshaw,0,0,
2017,195804a,20,195804a,Silver Lake,20,0,
2017,201301,0,201301,Montecito Heights,0,0,
2017,500900,19.9,500900,Pico Rivera,19.9,0,
2017,275311,19.8,275311,Del Rey,19.8,0,
2017,212204b,19.7,212204b,Westlake,19.7,0,
2017,240900b,0,240900b,Green Meadows,0,0,
2017,540901,0,540901,Willowbrook,0,0,
2017,701902f,0,701902f,Santa Monica,0,0,
2017,267200a,19.6,267200a,West Los Angeles,19.6,0,
2017,702901a,0,702901a,Marina del Rey,0,0,
2017,900804,0,900804,Lancaster,0,0,
2017,183101,19.5999999999999,183101,Highland Park,19.5999999999999,0,
2017,123304a,19.5,123304a,Valley Glen,19.5,0,
2017,186401,19.4,186401,Glassell Park,19.4,0,
2017,209401b,0,209401b,Westlake,0,0,
2017,701304a,0,701304a,Santa Monica,0,0,
2017,104620,19.3,104620,Pacoima,19.3,0,
2017,900806b,0,900806b,Lancaster,0,0,
2017,240402b,19.2,240402b,Vermont Vista,19.2,0,
2017,293304a,19.1,293304a,Harbor City,19.1,0,
2017,192002,19.0999999999999,192002,Fairfax,19.0999999999999,0,
2017,620501b,0,620501b,Redondo Beach,0,0,
2017,134520a,19,134520a,Canoga Park,19,0,
2017,901213a,0,901213a,Leona Valley,0,0,
2017,920104p,0,920104p,Ridge Route,0,0,
2017,131800,18.9,131800,Reseda,18.9,0,
2017,132300,0,132300,Reseda,0,0,
2017,192001,0,192001,Fairfax,0,0,
2017,207501,0,207501,Downtown,0,0,
2017,219800b,0,219800b,West Adams,0,0,
2017,532800b,0,532800b,Florence-Firestone,0,0,
2017,620501a,0,620501a,Redondo Beach,0,0,
2017,800408a,0,800408a,Malibu,0,0,
2017,403802b,18.8,403802b,Charter Oak,18.8,0,
2017,603101,0,603101,Gardena,0,0,
2017,294520b,18.7999999999999,294520b,Wilmington,18.7999999999999,0,
2017,543201,0,543201,Compton,0,0,
2017,208720a,18.7,208720a,Westlake,18.7,0,
2017,224010b,0,224010b,Downtown,0,0,
2017,267800a,0,267800a,West Los Angeles,0,0,
2017,532800a,0,532800a,Florence-Firestone,0,0,
2017,553801,0,553801,Paramount,0,0,
2017,700101,0,700101,West Hollywood,0,0,
2017,134303b,18.6,134303b,Canoga Park,18.6,0,
2017,187300,18.5999999999999,187300,Silver Lake,18.5999999999999,0,
2017,703001b,0,703001b,South Robertson,0,0,
2017,123800b,18.5,123800b,Valley Glen,13.8,5,
2017,501002a,0,501002a,West Whittier-Los Nietos,18.5,0,
2017,535502,0,535502,South Gate,0,0,
2017,294520a,18.4,294520a,Wilmington,18.4,0,
2017,402200a,0,402200a,Pomona,15.4,3,
2017,402402a,0,402402a,Pomona,18.4,0,
2017,134903,18.3,134903,Canoga Park,18.3,0,
2017,195720a,0,195720a,Echo Park,0,0,
2017,239310b,0,239310b,Florence,0,0,
2017,269800,0,269800,Palms,0,0,
2017,203500b,18.2999999999999,203500b,Lincoln Heights,18.2999999999999,0,
2017,199700,18.2,199700,Lincoln Heights,18.2,0,
2017,541002b,0,541002b,Carson,0,0,
2017,134422a,18.1,134422a,West Hills,18.1,0,
2017,191301a,0,191301a,Silver Lake,15.4,3,
2017,213201b,0,213201b,Harvard Heights,18.1,0,
2017,531800b,0,531800b,East Los Angeles,0,0,
2017,535501,0,535501,South Gate,0,0,
2017,554204a,0,554204a,Bellflower,0,0,
2017,275101,18.0999999999999,275101,Del Rey,18.0999999999999,0,
2017,701801b,0,701801b,Santa Monica,4.2,14,
2017,122000a,17.9,122000a,Sun Valley,17.9,0,
2017,270300b,0,270300b,Mid-City,0,0,
2017,294410b,0,294410b,Harbor City,0,0,
2017,401500b,0,401500b,La Verne,3.8,14,
2017,503104,0,503104,South Whittier,17.9,0,
2017,236202b,17.8,236202b,Baldwin Hills/Crenshaw,17.8,0,
2017,239702a,0,239702a,Florence,0,0,
2017,503701,0,503701,La Mirada,0,0,
2017,701802a,0,701802a,Santa Monica,7.4,10,
2017,900201g,0,900201g,Northeast Antelope Valley,17.8,0,
2017,120020,17.7,120020,Panorama City,17.7,0,
2017,237401,0,237401,Vermont-Slauson,0,0,
2017,269904a,0,269904a,Palms,0,0,
2017,408301c,0,408301c,Avocado Heights,11.2,7,
2017,900803b,0,900803b,Lancaster,17.7,0,
2017,237201b,17.6,237201b,Harvard Park,17.6,0,
2017,433200a,0,433200a,El Monte,0,0,
2017,482401,0,482401,Rosemead,0,0,
2017,554403,0,554403,Bellflower,0,0,
2017,651101b,0,651101b,Torrance,0,0,
2017,402406,17.5,402406,Pomona,17.5,0,
2017,701801a,0,701801a,Santa Monica,4.1,13,
2017,143700b,17.4,143700b,Hollywood Hills,17.4,0,
2017,211802b,0,211802b,Koreatown,0,0,
2017,267700,0,267700,West Los Angeles,0,0,
2017,402402b,0,402402b,Pomona,0,0,
2017,500600,0,500600,Pico Rivera,0,0,
2017,532102,0,532102,Montebello,0,0,
2017,123902a,17.3,123902a,North Hollywood,17.3,0,
2017,134520b,0,134520b,Canoga Park,0,0,
2017,211121b,0,211121b,Westlake,0,0,
2017,275602a,0,275602a,Playa Vista,0,0,
2017,900201e,0,900201e,Northeast Antelope Valley,0,0,
2017,117404b,17.2999999999999,117404b,North Hills,17.2999999999999,0,
2017,123010a,17.2,123010a,Sun Valley,17.2,0,
2017,131702,0,131702,Reseda,0,0,
2017,192620b,0,192620b,East Hollywood,0,0,
2017,800408b,0,800408b,Malibu,0,0,
2017,800408c,0,800408c,Malibu,0,0,
2017,203900,17.1,203900,Boyle Heights,17.1,0,
2017,218800a,0,218800a,Arlington Heights,0,0,
2017,239330,0,239330,Florence,0,0,
2017,550500b,0,550500b,Downey,0,0,
2017,203300a,17.0999999999999,203300a,Boyle Heights,17.0999999999999,0,
2017,541002a,0,541002a,Carson,0,0,
2017,122420,17,122420,Sun Valley,17,0,
2017,183402b,0,183402b,Eagle Rock,0,0,
2017,197600b,0,197600b,Echo Park,0,0,
2017,203600,0,203600,Boyle Heights,3,14,
2017,224010c,0,224010c,Downtown,17,0,
2017,224020b,0,224020b,Historic South-Central,0,0,
2017,115302,16.9,115302,Northridge,16.9,0,
2017,209402a,0,209402a,Westlake,0,0,
2017,463101,0,463101,East Pasadena,0,0,
2017,543501b,0,543501b,Carson,0,0,
2017,900606b,0,900606b,Lancaster,0,0,
2017,191500,16.8,191500,East Hollywood,16.8,0,
2017,229420,0,229420,South Park,0,0,
2017,530902,0,530902,East Los Angeles,0,0,
2017,900504b,0,900504b,Lancaster,0,0,
2017,267300b,16.7999999999999,267300b,West Los Angeles,16.7999999999999,0,
2017,117404a,16.7,117404a,North Hills,16.7,0,
2017,183701b,0,183701b,Highland Park,0,0,
2017,530700,0,530700,East Los Angeles,0,0,
2017,552200a,0,552200a,Norwalk,0,0,
2017,701802c,0,701802c,Santa Monica,6.9,10,
2017,238320a,16.6,238320a,Vermont Knolls,16.6,0,
2017,670003,0,670003,Lomita,2.6,14,
2017,204700b,16.5,204700b,Boyle Heights,16.5,0,
2017,433403,0,433403,El Monte,8.5,8,
2017,542402,0,542402,Compton,16.5,0,
2017,620521,0,620521,Redondo Beach,0,0,
2017,209403,16.4,209403,Westlake,16.4,0,
2017,117101,16.3,117101,North Hills,16.3,0,
2017,542000b,0,542000b,Compton,0,0,
2017,119201,16.2,119201,Arleta,16.2,0,
2017,122120,0,122120,Sun Valley,0,0,
2017,199000d,0,199000d,Lincoln Heights,0,0,
2017,207400b,0,207400b,Downtown,0,0,
2017,265601,0,265601,Westwood,0,0,
2017,553701,0,553701,Paramount,0,0,
2017,199000b,16.1,199000b,Cypress Park,16.1,0,
2017,269700,0,269700,Mid-City,0,0,
2017,900803a,16.0999999999999,900803a,Lancaster,16.0999999999999,0,
2017,134201a,16,134201a,Canoga Park,16,0,
2017,195802a,0,195802a,Westlake,0,0,
2017,700501,0,700501,West Hollywood,0,0,
2017,209102b,15.9,209102b,Westlake,8,8,
2017,229200a,0,229200a,South Park,15.9,0,
2017,270200b,0,270200b,Mid-City,14.9,1,
2017,402102b,15.8999999999999,402102b,Pomona,9.29999999999999,7,
2017,553802a,0,553802a,Paramount,15.8999999999999,0,
2017,128601a,15.8,128601a,Van Nuys,15.8,0,
2017,296500,0,296500,San Pedro,0,0,
2017,125200a,15.7999999999999,125200a,Valley Village,15.7999999999999,0,
2017,211121a,0,211121a,Westlake,0,0,
2017,219901b,0,219901b,West Adams,0,0,
2017,433200b,0,433200b,El Monte,0,0,
2017,224020c,15.7,224020c,Historic South-Central,15.7,0,
2017,292000a,0,292000a,Harbor Gateway North and South,0,0,
2017,234700,15.6,234700,Hyde Park,15.6,0,
2017,264301,0,264301,Brentwood,0,0,
2017,532303b,0,532303b,Commerce,0,0,
2017,554521b,0,554521b,Cerritos,0,0,
2017,901010a,0,901010a,Lancaster,0,0,
2017,113421b,15.5,113421b,Chatsworth,15.5,0,
2017,269903,0,269903,Palms,0,0,
2017,404802,0,404802,Baldwin Park,0,0,
2017,602301a,0,602301a,Del Aire,0,0,
2017,213201a,15.4,213201a,Harvard Heights,15.4,0,
2017,267502b,0,267502b,West Los Angeles,0,0,
2017,554002b,0,554002b,Bellflower,2.5,13,
2017,402102a,15.3,402102a,Pomona,8.9,6,
2017,533106,0,533106,Huntington Park,15.3,0,
2017,553702,15.2999999999999,553702,Paramount,15.2999999999999,0,
